,areaNo,sido,si,gridX,gridY,lng,lat
0,1100000000,서울특별시,서울특별시,60,127,126.98000833333332,37.56356944444444
1,2600000000,부산광역시,부산광역시,98,76,129.07695277777776,35.17701944444444
2,2700000000,대구광역시,대구광역시,89,90,128.60355277777776,35.868541666666665
3,2800000000,인천광역시,인천광역시,55,124,126.7073527777778,37.45323333333334
4,2900000000,광주광역시,광주광역시,58,74,126.85336388888888,35.156975
5,3000000000,대전광역시,대전광역시,67,100,127.38656666666668,36.347119444444445
6,3100000000,울산광역시,울산광역시,102,84,129.3136888888889,35.53540833333333
7,3611000000,세종특별자치시,세종특별자치시,66,103,127.2890691,36.4800121
8,4111500000,경기도,수원시,61,121,127.03783333333332,37.28310277777778
9,4113500000,경기도,성남시,62,123,127.12101944444444,37.37996944444445
10,4115000000,경기도,의정부시,61,130,127.03584166666668,37.73528888888889
11,4117300000,경기도,안양시,59,123,126.95335555555556,37.3897
12,4119000000,경기도,부천시,56,125,126.766,37.5035917
13,4121000000,경기도,광명시,58,125,126.86670833333332,37.475750000000005
14,4122000000,경기도,평택시,62,114,127.11465555555554,36.98943888888889
15,4125000000,경기도,동두천시,61,134,127.06265277777776,37.90091666666667
16,4127300000,경기도,안산시,57,121,126.81441944444444,37.31672777777778
17,4128500000,경기도,고양시,56,129,126.77705555555556,37.65590833333333
18,4129000000,경기도,과천시,60,124,126.9898,37.42637222222222
19,4131000000,경기도,구리시,62,127,127.13186388888889,37.591625
20,4137000000,경기도,오산시,62,118,127.07964166666666,37.14691388888889
21,4136000000,경기도,남양주시,64,128,127.21863333333332,37.63317777777778
22,4139000000,경기도,시흥시,57,123,126.80507777777775,37.377319444444446
23,4141000000,경기도,군포시,59,122,126.9375,37.35865833333334
24,4143000000,경기도,의왕시,60,122,126.97038888888888,37.34195
25,4145000000,경기도,하남시,64,126,127.217,37.53649722222222
26,4148000000,경기도,파주시,56,131,126.78195277777778,37.75708333333333
27,4150000000,경기도,이천시,68,121,127.44321944444444,37.27543611111111
28,4155000000,경기도,안성시,65,115,127.28184444444445,37.005175
29,4157000000,경기도,김포시,55,128,126.71777777777778,37.612458333333336
30,4159000000,경기도,화성시,57,119,126.83353055555555,37.19681666666666
31,4161000000,경기도,광주시,65,123,127.25778611111112,37.41450555555556
32,4163000000,경기도,양주시,61,131,127.04781944444444,37.78245
33,4167000000,경기도,여주시,71,121,127.639622222222,37.29535833333333
34,4165000000,경기도,포천시,64,134,127.20241944444444,37.892155555555554
35,4180000000,경기도,연천군,61,138,127.07706666666668,38.09336388888889
36,4182000000,경기도,가평군,69,133,127.51177777777778,37.82883055555556
37,4211000000,강원도,춘천시,73,134,127.73231111111112,37.87854166666667
38,4183000000,경기도,양평군,69,125,127.48988611111112,37.48893611111111
39,4215000000,강원도,강릉시,92,131,128.87849722222222,37.74913611111111
40,4213000000,강원도,원주시,76,122,127.92205555555556,37.339083333333335
41,4217000000,강원도,동해시,97,127,129.11663333333334,37.52193055555556
42,4219000000,강원도,태백시,95,119,128.98799722222222,37.161227777777775
43,4221000000,강원도,속초시,87,141,128.59416666666667,38.204275
44,4223000000,강원도,삼척시,98,125,129.16748888888887,37.44708611111111
45,4272000000,강원도,홍천군,75,130,127.89084166666667,37.69442222222222
46,4273000000,강원도,횡성군,77,125,127.98722222222224,37.488958333333336
47,4275000000,강원도,영월군,86,119,128.46401944444443,37.18086111111111
48,4276000000,강원도,평창군,84,123,128.39235277777777,37.367916666666666
49,4277000000,강원도,정선군,89,123,128.6630861111111,37.37780833333333
50,4278000000,강원도,철원군,65,139,127.31573333333333,38.14405555555555
51,4279000000,강원도,화천군,72,139,127.71035555555557,38.10340833333333
52,4280000000,강원도,양구군,77,139,127.99224444444444,38.10729166666667
53,4281000000,강원도,인제군,80,138,128.1726972222222,38.06697222222223
54,4282000000,강원도,고성군,85,145,128.4701638888889,38.37796111111111
55,4283000000,강원도,양양군,88,138,128.62135555555557,38.072833333333335
56,4311200000,충청북도,청주시,69,107,127.4832888888889,36.63726111111111
57,4313000000,충청북도,충주시,76,114,127.92814444444446,36.98818055555556
58,4315000000,충청북도,제천시,81,118,128.19315277777778,37.12976944444444
59,4372000000,충청북도,보은군,73,103,127.73160833333334,36.48653333333333
60,4373000000,충청북도,옥천군,71,99,127.57363333333332,36.30355
61,4374000000,충청북도,영동군,74,97,127.78561111111112,36.17205833333333
62,4374500000,충청북도,증평군,71,110,127.58328888888887,36.78218055555556
63,4375000000,충청북도,진천군,68,111,127.43764444444444,36.85253888888889
64,4376000000,충청북도,괴산군,74,111,127.78883055555556,36.81243055555555
65,4377000000,충청북도,음성군,72,113,127.69262222222224,36.93740555555555
66,4413300000,충청남도,천안시,63,112,127.15719722222222,36.87555833333333
67,4380000000,충청북도,단양군,84,115,128.36784166666666,36.98178055555556
68,4415000000,충청남도,공주시,63,102,127.12111944444445,36.44361388888888
69,4418000000,충청남도,보령시,54,100,126.6148861111111,36.330575
70,4420000000,충청남도,아산시,60,110,127.00464166666669,36.78710555555556
71,4421000000,충청남도,서산시,51,110,126.45216388888888,36.78209722222222
72,4423000000,충청남도,논산시,62,97,127.1009111111111,36.18420277777778
73,4425000000,충청남도,계룡시,65,99,127.25093055555556,36.27183611111112
74,4427000000,충청남도,당진시,54,112,126.63025277777776,36.89075
75,4471000000,충청남도,금산군,69,95,127.49030833333332,36.10586944444445
76,4476000000,충청남도,부여군,59,99,126.91186388888887,36.272822222222224
77,4477000000,충청남도,서천군,55,94,126.69388888888888,36.07740555555556
78,4479000000,충청남도,청양군,57,103,126.80425555555556,36.456269444444445
79,4480000000,충청남도,홍성군,55,106,126.66290833333332,36.59836111111111
80,4481000000,충청남도,예산군,58,107,126.850875,36.679805555555554
81,4482500000,충청남도,태안군,48,109,126.299975,36.742666666666665
82,4511100000,전라북도,전주시,63,89,127.12191944444444,35.80918888888888
83,4513000000,전라북도,군산시,56,92,126.73884444444444,35.96464166666667
84,4514000000,전라북도,익산시,60,91,126.95985277777778,35.945274999999995
85,4519000000,전라북도,남원시,68,80,127.3925,35.41325555555555
86,4518000000,전라북도,정읍시,58,83,126.8581111111111,35.56687222222222
87,4521000000,전라북도,김제시,59,88,126.88275277777775,35.800574999999995
88,4571000000,전라북도,완주군,63,89,127.14959722222224,35.84296944444445
89,4572000000,전라북도,진안군,68,88,127.42696666666669,35.788719444444446
90,4573000000,전라북도,무주군,72,93,127.66286666666667,36.00382777777778
91,4574000000,전라북도,장수군,70,85,127.5233,35.64429722222222
92,4575000000,전라북도,임실군,66,84,127.28475277777778,35.60806388888889
93,4577000000,전라북도,순창군,63,79,127.13963055555556,35.37138888888889
94,4579000000,전라북도,고창군,56,80,126.70410833333334,35.432738888888885
95,4580000000,전라북도,부안군,56,87,126.73567777777778,35.72853333333334
96,4611000000,전라남도,목포시,50,67,126.39441944444444,34.808788888888884
97,4613000000,전라남도,여수시,73,66,127.66438611111111,34.757311111111115
98,4615000000,전라남도,순천시,70,70,127.48933055555555,34.947605555555555
99,4617000000,전라남도,나주시,56,71,126.71286666666668,35.012838888888886
100,4623000000,전라남도,광양시,73,70,127.6981777777778,34.93753611111111
101,4671000000,전라남도,담양군,61,78,126.99016388888889,35.318125
102,4672000000,전라남도,곡성군,66,77,127.29410833333333,35.278955555555555
103,4673000000,전라남도,구례군,69,75,127.46493333333332,35.19945833333333
104,4678000000,전라남도,보성군,62,66,127.08208888888888,34.76833333333333
105,4677000000,전라남도,고흥군,66,62,127.28705555555555,34.608069444444446
106,4679000000,전라남도,화순군,61,72,126.98856666666669,35.061480555555555
107,4680000000,전라남도,장흥군,59,64,126.90910833333334,34.678525
108,4681000000,전라남도,강진군,57,63,126.76919722222222,34.63891111111111
109,4682000000,전라남도,해남군,54,61,126.60128888888887,34.570436111111114
110,4683000000,전라남도,영암군,56,66,126.69861944444445,34.79698888888889
111,4684000000,전라남도,무안군,52,71,126.4837,34.98736944444445
112,4686000000,전라남도,함평군,52,72,126.51861944444444,35.06274444444444
113,4687000000,전라남도,영광군,52,77,126.51408611111113,35.274166666666666
114,4688000000,전라남도,장성군,57,77,126.786975,35.29881111111111
115,4689000000,전라남도,완도군,57,56,126.75709722222224,34.307852777777775
116,4690000000,전라남도,진도군,48,59,126.26554444444444,34.48375
117,4691000000,전라남도,신안군,50,66,126.38173055555556,34.789811111111106
118,4711100000,경상북도,포항시,102,94,129.36166666666665,36.00568611111111
119,4713000000,경상북도,경주시,100,91,129.22702222222222,35.85316944444445
120,4715000000,경상북도,김천시,80,96,128.1158,36.136897222222224
121,4717000000,경상북도,안동시,91,106,128.73162222222223,36.565463888888885
122,4719000000,경상북도,구미시,84,96,128.3467777777778,36.11655
123,4721000000,경상북도,영주시,89,111,128.62634444444444,36.80293611111111
124,4723000000,경상북도,영천시,95,93,128.940775,35.97005277777778
125,4725000000,경상북도,상주시,81,102,128.1612638888889,36.40796944444444
126,4728000000,경상북도,문경시,81,106,128.18901944444443,36.58363055555556
127,4729000000,경상북도,경산시,91,90,128.74346388888887,35.82208888888889
128,4772000000,경상북도,군위군,88,99,128.57507777777778,36.23999722222222
129,4773000000,경상북도,의성군,90,101,128.69936388888888,36.34975833333333
130,4775000000,경상북도,청송군,96,103,129.0594,36.43329166666666
131,4776000000,경상북도,영양군,97,108,129.1146222222222,36.664275
132,4777000000,경상북도,영덕군,102,103,129.36835555555555,36.412102777777775
133,4782000000,경상북도,청도군,91,86,128.7362,35.64431111111111
134,4783000000,경상북도,고령군,83,87,128.26502222222223,35.72298611111111
135,4784000000,경상북도,성주군,83,91,128.28515277777777,35.91621111111111
136,4790000000,경상북도,예천군,86,107,128.4550222222222,36.65495
137,4785000000,경상북도,칠곡군,85,93,128.40379722222224,35.99254722222222
138,4792000000,경상북도,봉화군,90,113,128.734875,36.89026111111111
139,4793000000,경상북도,울진군,102,115,129.4027861111111,36.99018611111112
140,4794000000,경상북도,울릉군,127,127,130.9037888888889,37.480575
141,4812100000,경상남도,창원시,90,77,128.6401544,35.2540033
142,4817000000,경상남도,진주시,81,75,128.11,35.177033333333334
143,4822000000,경상남도,통영시,87,68,128.43527777777777,34.851258333333334
144,4824000000,경상남도,사천시,80,71,128.0667777777778,35.000283333333336
145,4827000000,경상남도,밀양시,92,83,128.74894444444442,35.50077777777778
146,4825000000,경상남도,김해시,95,77,128.89166666666665,35.22550555555556
147,4831000000,경상남도,거제시,90,69,128.62335555555558,34.87735833333333
148,4833000000,경상남도,양산시,97,79,129.03941111111112,35.33192777777778
149,4873000000,경상남도,함안군,86,77,128.40870833333335,35.26940555555556
150,4872000000,경상남도,의령군,83,78,128.26382222222222,35.319119444444446
151,4874000000,경상남도,창녕군,87,83,128.49453333333332,35.54153611111111
152,4882000000,경상남도,고성군,85,71,128.32454166666668,34.9699
153,4884000000,경상남도,남해군,77,68,127.89446666666667,34.834558333333334
154,4885000000,경상남도,하동군,74,73,127.75343055555555,35.06420277777777
155,4887000000,경상남도,함양군,74,82,127.72741944444444,35.517469444444444
156,4886000000,경상남도,산청군,76,80,127.87561944444444,35.41249166666667
157,4888000000,경상남도,거창군,77,86,127.91165555555555,35.683625
158,4889000000,경상남도,합천군,81,84,128.16793055555556,35.56361666666666
159,5011000000,제주특별자치도,제주시,53,38,126.53320833333332,33.49631111111111
160,5013000000,제주특별자치도,서귀포시,52,33,126.51255555555556,33.25235
